ID,WhosData,Date,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,Use.x,Use.y,ActivityDate,FishingType,BaitLure,TimeStartEX,TimeOutEx,MedianTimeEX,DecMedianTimeEX,HoursEx,DecHoursEx,MaxDepth,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP,Species,WhyLeaveEx,Activity,TimeStartNEX,TimeEndNEX,MedianTimeNEX,DecMedianTimeNEX,HoursNEX,DecHourNEX,DivingDepth,WhyThisSite,WhyLeaveNEX,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrFished,DaysOfYrNEX,YrsFishing,YrsNEX,DiveCert,DiveNum,YrBorn,Postcode,Accom,Sex,Party,BoatLength,BoatType,BoatName,Comments
55,Jon,28/07/15,14:15,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.1794918,-21.9198772,28/07/15,Trolling,Lure,09:00,13:45,11:22,11.37,04:45,4.75,5,NA,NA,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Dl512,"Trolling over 5+ km north and south of marina, 5 fish total, 0 lost, 5m covered white metal boat"
58,Jon,28/07/15,15:00,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.0757457,-21.55370626,28/07/15,Demersel,Bait,10:00,13:30,11:45,11.75,03:30,3.5,300,NA,NA,3,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,B1024,"3fish caught, none lost, 5m covered metal boat, blue hull"
61,Jon,28/07/15,16:00,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.2611221,-21.74837155,28/07/15,Demersel,Bait,10:30,15:00,12:45,12.75,04:30,4.5,20,NA,NA,25,0,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Do583,"25 fish caught, none lost, 5m white metal covered boat"
62,Jon,28/07/15,16:15,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.3377914,-21.7457097,28/07/15,Demersel,Bait,11:00,14:45,12:52,12.87,03:45,3.75,20,NA,NA,45,5,50,10,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ae903,
63,Jon,28/07/15,16:30,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.151325,-21.90864788,28/07/15,Demersel,Bait,09:00,15:30,12:15,12.25,06:30,6.5,NA,NA,NA,9,0,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,Es151,"9 fish caught, none lost, 3m white metal boat, "
65,Jon,28/07/15,16:30,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.2495214,-21.99546443,28/07/15,Demersel,Bait,10:45,15:30,13:07,13.12,04:45,4.75,20,NA,NA,20,1,21,4.761904762,0.047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,55,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Ex228,"1fish lost, 4m white metal covered boat"
66,Jon,28/07/15,17:00,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,113.8798984,-21.980062,28/07/15,Trolling,Lure,09:00,16:00,12:30,12.5,07:00,7,5,NA,NA,8,0,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Bv612,"8 fish caught total, 4m white metal boat"
67,Jon,29/07/15,12:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7135815,-23.21323799,29/07/15,Demersel,Bait,08:15,11:30,09:52,9.87,03:15,3.25,90,NA,NA,10,1,11,9.090909091,0.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Ew629,"10 fish caught, 1 lost, 6m covered white fibreglass boat, "
68,Jon,29/07/15,12:15,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7256112,-22.98175443,29/07/15,Demersel,Bait,05:45,10:30,08:07,8.12,04:45,4.75,70,NA,NA,6,1,7,14.28571429,0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ez280,"6fish caught, 1 lost, 5m white covered fibreglass boat"
71,Jon,29/07/15,13:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7003949,-23.15570863,29/07/15,Demersel,Bait,08:00,12:00,10:00,10,04:00,4,40,NA,NA,20,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Ek395,"20 fish total, 6m white metal covered boat"
75,Jon,29/07/15,14:45,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.5107096,-23.05289523,29/07/15,Demersel,Bait,10:00,14:00,12:00,12,04:00,4,130,NA,NA,22,2,24,8.333333333,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Dl498, cruise control ","22 fish caught undamaged, 2 lost, 6 m white fibreglass covered boat"
76,Jon,29/07/15,15:15,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7216152,-23.23869872,29/07/15,Demersel,Bait,09:30,14:15,11:52,11.87,04:45,4.75,60,NA,NA,30,2,32,6.25,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,45,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,As149,"30 fish caught, 2 lost, 4 m light blue metal boat, "
79,Jon,29/07/15,16:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,NA,NA,29/07/15,Demersel,Bait,09:00,14:00,11:30,11.5,05:00,5,400,NA,NA,12,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Couta crazy,12 fish caught 6 m covered white fibreglass boat with railings
80,Jon,29/07/15,16:15,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.6791353,-23.07189307,29/07/15,Demersel,Bait,11:30,15:45,13:37,13.62,04:15,4.25,70,NA,NA,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,45324,"2 fish caught, 5m yellow fibreglass boat with black cover"
82,Jon,29/07/15,,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.5988446,-23.16709455,29/07/15,Demersel,Bait,09:45,15:30,12:37,12.62,05:45,5.75,90,NA,NA,13,1,14,7.142857143,0.071428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Bi167,"13 fish caught, 1lost, 6?m metal covered boat, blue hull, "
84,Jon,29/07/15,,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.5243468,-22.3916772,29/07/15,Demersel,Bait,06:30,14:30,10:30,10.5,08:00,8,350,NA,NA,9,0,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Ac050,"9 fish caught, 0 lost, 6m covered fibreglass boat, "
87,Jon,29/07/15,17:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7409285,-23.04684997,29/07/15,Demersel,Bait,09:00,15:00,12:00,12,06:00,6,20,NA,NA,8,1,9,11.11111111,0.111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dg879,"8 fish caught, 1 lost, "
89,Jon,29/07/15,17:15,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7039183,-23.29565338,29/07/15,Demersel,Bait,10:00,16:15,13:07,13.12,06:15,6.25,70,NA,NA,15,0,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Ao922,"15 fish, none lost, 4m white fibreglass boat "
90,Jon,29/07/15,17:30,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.6944381,-23.30050075,29/07/15,Demersel,Bait,09:30,16:30,13:00,13,07:00,7,65,NA,NA,20,20,40,50,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dm949,"20 fish caught, 20 Lost"
92,Jon,29/07/15,17:45,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.3895152,-23.32600628,29/07/15,Demersel,Bait,10:30,16:30,13:30,13.5,06:00,6,350,NA,NA,7,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ep098,7fish caught
93,Jon,29/07/15,17:45,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.358191,-23.46818049,29/07/15,Demersel,Bait,10:00,16:00,13:00,13,06:00,6,110,NA,NA,15,0,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ar408,15 fish caught 
95,Jon,29/07/15,18:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.6333007,-23.00688224,29/07/15,Demersel,Bait,07:30,17:00,12:15,12.25,09:30,9.5,70,NA,NA,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Bo302,"2 fish caught, 6m white metal covered boat"
