ID,Date,Interviewer,Transect,Access,BoatAccess,Meta.x,Meta.y,ActivityDate,FishingType,BaitType,TimeInEx,TimeOutEx,MedTimeEx,DecMedTimeEx,MaxDepthEx,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP
175,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,09:00,16:00,12:30,12.5,5,NA,NA,13,0,13,0,0
176,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,07:30,10:00,08:45,8.75,15,NA,NA,10,1,11,9.090909091,0.090909091
177,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,10:30,12:00,11:15,11.25,5,NA,NA,1,0,1,0,0
178,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Mulie,12:30,13:45,13:07,13.12,20,NA,NA,2,2,4,50,0.5
179,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,12:00,12:30,12:15,12.25,5,NA,NA,2,0,2,0,0
180,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,09:00,14:30,11:45,11.75,5,NA,NA,8,0,8,0,0
181,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,11:00,14:30,12:45,12.75,15,NA,NA,20,0,20,0,0
182,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Mullet,10:30,15:00,12:45,12.75,15,NA,NA,15,0,15,0,0
183,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Garfish,12:00,16:00,14:00,14,10,NA,NA,4,0,4,0,0
184,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Squid,14:00,16:00,15:00,15,20,NA,NA,5,0,5,0,0
185,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Squid,11:30,16:45,14:07,14.12,15,NA,NA,14,0,14,0,0
186,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,11:00,14:00,12:30,12.5,5,NA,NA,7,0,7,0,0
187,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Prawns,10:00,13:45,11:52,11.87,30,NA,NA,9,0,9,0,0
188,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,08:30,14:00,11:15,11.25,20,NA,NA,30,8,38,21.05263158,0.210526316
189,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Trolling,Artificial plastic lure,09:30,12:30,11:00,11,5,NA,NA,3,0,3,0,0
190,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Trolling,Artificial plastic lure,11:00,15:30,13:15,13.25,5,NA,NA,1,0,1,0,0
191,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Bottom-bashing (drifting),Mackerel,11:30,16:00,13:45,13.75,60,NA,NA,4,0,4,0,0
192,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Mulie,09:00,14:45,11:52,11.87,10,NA,NA,32,3,35,8.571428571,0.085714286
193,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,11:00,13:00,12:00,12,5,NA,NA,1,0,1,0,0
194,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,06:30,11:30,09:00,9,10,NA,NA,5,0,5,0,0
195,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Squid,08:30,12:00,10:15,10.25,30,NA,NA,2,1,3,33.33333333,0.333333333
196,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Squid,10:00,12:00,11:00,11,5,NA,NA,8,0,8,0,0
197,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,08:00,11:45,09:52,9.87,30,NA,NA,15,5,20,25,0.25
198,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Squid,08:30,13:00,10:45,10.75,10,NA,NA,10,0,10,0,0
199,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,11:30,13:30,12:30,12.5,10,NA,NA,20,0,20,0,0
200,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Squid,12:30,14:30,13:30,13.5,10,NA,NA,2,0,2,0,0
201,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Mulie,08:00,15:30,11:45,11.75,35,NA,NA,28,30,58,51.72413793,0.517241379
202,05/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,05/10/2015,Trolling,Artificial plastic lure,09:45,10:45,10:15,10.25,5,NA,NA,2,0,2,0,0
203,05/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,05/10/2015,Bottom-bashing (anchored),Squid,10:30,13:00,11:45,11.75,30,NA,NA,10,1,11,9.090909091,0.090909091
204,06/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,06/10/2015,Bottom-bashing (anchored),Squid,08:15,11:30,09:52,9.87,10,NA,NA,30,0,30,0,0
205,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (anchored),,07:30,12:00,09:45,9.75,10,NA,NA,6,1,7,14.28571429,0.142857143
206,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (anchored),Squid,10:00,15:00,12:30,12.5,20,NA,NA,11,2,13,15.38461538,0.153846154
207,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (anchored),,09:30,11:00,10:15,10.25,10,NA,NA,8,0,8,0,0
208,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,12:00,14:30,13:15,13.25,35,NA,NA,20,0,20,0,0
209,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,11:15,13:45,12:30,12.5,20,NA,NA,12,0,12,0,0
210,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,07:30,13:45,10:37,10.62,140,NA,NA,40,50,90,55.55555556,0.555555556
211,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,09:00,16:00,12:30,12.5,50,NA,NA,6,5,11,45.45454545,0.454545455
212,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,09:00,15:45,12:22,12.37,30,NA,NA,23,4,27,14.81481481,0.148148148
213,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Squid,11:30,16:00,13:45,13.75,100,NA,NA,10,0,10,0,0
214,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (drifting),Mullet,10:15,15:45,13:00,13,30,NA,NA,23,3,26,11.53846154,0.115384615
215,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Trolling,Mulie,11:00,16:30,13:45,13.75,5,NA,NA,2,0,2,0,0
216,07/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,07/10/2015,Bottom-bashing (anchored),Squid,11:00,16:15,13:37,13.62,20,NA,NA,9,2,11,18.18181818,0.181818182
217,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Mackerel,09:30,11:30,10:30,10.5,10,NA,NA,4,0,4,0,0
218,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (anchored),Pilchard,09:00,11:00,10:00,10,20,NA,NA,23,0,23,0,0
