OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
209,eefaa98a-881c-4c99-8cec-e0f26044bc96,Boat,,Demersal,Bait,07:39,11:39,70,17,9,0,"Red bight fish, breaksea cod",Weather,,8452e8dc-4f84-4629-85a1-392fe02cc191,3/15/2022 4:55:11 AM,Nicole.Hamre_UWA,3/15/2022 4:55:11 AM,Nicole.Hamre_UWA,No,,121.945052229975,-34.1780488326071
210,7f991869-47b8-45ab-9e80-7d6dd424209c,Boat,,Demersal,Bait,09:30,11:00,60,4,10,0,"Fox fish, sweep",LowCatch,,dab117b6-9d21-4849-af0e-96a05933bb59,3/15/2022 5:29:35 AM,Nicole.Hamre_UWA,3/15/2022 5:29:35 AM,Nicole.Hamre_UWA,No,,122.16014792642,-34.0730537984064
211,7f991869-47b8-45ab-9e80-7d6dd424209c,Boat,,Demersal,Bait,11:30,12:00,30,4,2,0,Break sea cod,Weather,,9041294e-cf34-4730-a8c9-348726a65b82,3/15/2022 5:30:40 AM,Nicole.Hamre_UWA,3/15/2022 5:30:40 AM,Nicole.Hamre_UWA,No,,122.134164241268,-34.0364994790247
212,b0cb1815-3029-424d-ade1-d6a26c6c592a,Boat,,Casting,Lure,08:30,10:20,8,10,30,0,Herring,Weather,,bc023cbd-7342-4b16-93eb-e37ba93d2c6b,3/17/2022 2:29:05 AM,Nicole.Hamre_UWA,3/17/2022 2:29:05 AM,Nicole.Hamre_UWA,No,,121.899544955697,-33.8630775651089
213,aa599799-f281-4c7f-b9f5-48b23b575f00,Boat,,Casting,Lure,07:00,10:40,0,12,5,0,Herring,EndOfDay,,dd655aff-0808-4015-bb08-760eb37b1835,3/17/2022 2:46:10 AM,Nicole.Hamre_UWA,3/17/2022 2:46:10 AM,Nicole.Hamre_UWA,No,,121.902104197551,-33.8648042442281
214,32d8bfcd-ab55-4b91-b12e-5b7d669db6dc,Boat,,Demersal,Bait,06:00,08:30,42,0,2,0,,LowCatch,,626fe871-2225-4779-9802-6aa7299a9682,3/17/2022 3:02:12 AM,Nicole.Hamre_UWA,3/17/2022 3:02:12 AM,Nicole.Hamre_UWA,Conditions,,121.886298839591,-33.9298597729049
215,32d8bfcd-ab55-4b91-b12e-5b7d669db6dc,Boat,,Casting,Lure,09:00,10:00,16,2,0,0,"Herring, squid",EndOfDay,,10261607-37ee-41f5-a38c-7013d9da2546,3/17/2022 3:03:17 AM,Nicole.Hamre_UWA,3/17/2022 3:03:17 AM,Nicole.Hamre_UWA,No,,121.880788063395,-33.9158715816751
216,54d2c2ba-cb56-4577-b4e1-862065457c66,Boat,,Demersal,Bait,10:00,12:15,15,12,4,0,"Herring, squid",Necessity,,6410aa36-44de-4eb2-8ae4-92ae951e4898,3/17/2022 4:18:03 AM,Nicole.Hamre_UWA,3/17/2022 4:18:03 AM,Nicole.Hamre_UWA,No,,121.903387999687,-33.8567377512681
217,5e230049-25ed-4009-8322-c71acf6ae20f,Boat,,Demersal,Bait,09:00,12:00,15,22,7,0,Herring,EndOfDay,,5bc1a3b5-9607-4311-afa7-77d183b2e742,3/17/2022 4:24:53 AM,Nicole.Hamre_UWA,3/17/2022 4:24:53 AM,Nicole.Hamre_UWA,Conditions,,121.858687243651,-33.9036631166823
218,ef921a93-6341-4fb9-9f7b-6d777f9eee79,Boat,,Demersal,Bait,09:30,11:30,13,0,50,0,,LowCatch,Not getting what they want,95847199-3afe-4834-b1ca-c2459be02062,3/17/2022 5:10:44 AM,Nicole.Hamre_UWA,3/17/2022 5:10:44 AM,Nicole.Hamre_UWA,Conditions,,121.898763062972,-33.8809057794709
