"","mObjID","mGlobID","# Interviewer","# Site","Screen: 18+","Screen: Have you been surveyed in the last 2 weeks?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_date","Are you of Aboriginal or Torres Strait Islander origin?","Do you identify as a TO in this region?","mLong","mLat","exObjID","exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments.x","exGlobID","Did anything detract from the experience you had at this site?","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?.x","exLong","exLat","exActivityType","nexObjID","nexGlobID","nexGUID","# Is this a boat-based or shore-based activity?","If RECALL, what date did they participant do the activity?","What activity did you do?","What time did you START the activity?","What time did you STOP the activity?","If DIVING, what was your maximum depth (m)?","Why did you CHOOSE this site?","Why did you LEAVE this site?","How many DAYS have you done this activity in the last 12 months?","How many YEARS have you been doing this activity?","Comments.y","Did anything detract from your experience at this site?","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?.y","nexLong","nexLat","nexActivityType","aObjID","aGlobID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number and/or name","Comments"
"136",116,"3a5f1a2b-9ccd-4c77-b7b5-2ffb891a1601","NSH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/19/2022 6:48:44 AM",NA,NA,121.931509518908,-33.833337737519,112,"3a5f1a2b-9ccd-4c77-b7b5-2ffb891a1601","Boat",NA,"Demersal","Bait","08:30","13:30",60,70,20,1,"Blackwater, nannagui, Samson, duh fish","EndOfDay",NA,"d827ad34-ee13-41d4-ad8c-f207fe4894dc",NA,NA,121.978287440392,-34.4701541301251,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"fd2e8a43-6a00-4953-80da-37f1cf143f47","3a5f1a2b-9ccd-4c77-b7b5-2ffb891a1601",24,35,"None",0,1974,0,"Esperance","Male",1,2,0,0,10,"GN707",NA
"137",117,"49e1e9cb-9b9b-47c2-ba99-33679c1094ee","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 4:03:42 AM",NA,NA,121.930681462659,-33.8336275853424,113,"49e1e9cb-9b9b-47c2-ba99-33679c1094ee","Boat",NA,"Casting","Bait","10:30","11:45",12,10,5,0,"Whiting","Weather",NA,"cecaf479-c725-4add-bdb1-4270ac64973d",NA,NA,121.854989103307,-33.8886857709626,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,"b37e99ac-13a8-4fea-88d7-83df057251ef","49e1e9cb-9b9b-47c2-ba99-33679c1094ee",10,25,"None",NA,1985,6450,"Esperance","Male",NA,NA,NA,NA,3,"E345",NA
"138",118,"8111a384-2bf9-4c4a-9b1e-abab8c98f4d7","EH","BandyCreekBR","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 4:08:35 AM",NA,NA,121.931071470731,-33.8336866091586,114,"8111a384-2bf9-4c4a-9b1e-abab8c98f4d7","Boat",NA,"Casting","Lure","20:00","11:45",9,0,0,0,NA,"Weather","Too many bouys,","20661b49-a9f2-4750-b19b-6a29cbe2425d","Safety",NA,121.942497548868,-33.8695020466854,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,"a20fb57d-6e84-4e8f-828a-043079fb7adf","8111a384-2bf9-4c4a-9b1e-abab8c98f4d7",38,63,"I",500,1958,6450,"Esperance","Male",NA,NA,NA,NA,3,"Ed284",NA
"139",119,"c9d6c970-69c5-4d98-b565-d07085adcfbd","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 4:12:31 AM",NA,NA,121.931048309468,-33.8331765733914,115,"c9d6c970-69c5-4d98-b565-d07085adcfbd","Boat",NA,"Casting","Bait","06:00","09:00",70,27,14,0,"Nannygui, break","BagLimit","Too many octopus pots","3888f305-9c1e-4bca-a4fc-65b070fc1ffd","Safety",NA,122.093112202964,-34.1797535438884,"Extractive",23,"1df0d73a-2330-4fef-b290-b81bba525b82","c9d6c970-69c5-4d98-b565-d07085adcfbd","Boat",NA,"Other","09:00",11:45:00,NA,"NaturalSurroundings","EndOfDay",12,18,"Had a swim because the conditions were good",NA,NA,122.00272369572,-34.0348725550282,"NonExtractive",103,"711734eb-4fd2-4262-ba5e-fa90adcf23da","c9d6c970-69c5-4d98-b565-d07085adcfbd",12,14,"None",NA,1989,6450,"Esperance","Male",NA,2,NA,NA,6,"Dj707",NA
"140",120,"1329c3a8-8bc5-4ae3-a9b5-deb11cb5d8b4","EH","BandyCreekBR","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 5:27:54 AM",NA,NA,121.931361540329,-33.8337643653257,116,"1329c3a8-8bc5-4ae3-a9b5-deb11cb5d8b4","Boat","2/22/2022 5:29:01 AM","Demersal","Bait","06:30","11:30",50,14,6,0,"Nannagui, queen snapper, black arse, harlequin","Weather",NA,"656b3b33-9028-4412-afe0-37d46c968d49",NA,NA,121.669028711712,-34.1746964797865,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,"185e07a3-ec90-4e27-877a-9f2e50f8c7e7","1329c3a8-8bc5-4ae3-a9b5-deb11cb5d8b4",40,40,"None",NA,1971,6450,"Esperance","Male",NA,3,NA,NA,7,"Gs134","Used to scuba, didn’t voice any reason he stopped"
"141",121,"a5f28630-2646-4bfb-949f-5fed2cb9034f","EH","BandyCreekBR","Yes","Yes","No","Yes",NA,"Yes",NA,NA,0,"2/22/2022 5:42:13 AM",NA,NA,121.931285418889,-33.8341638797609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",122,"587038c5-3b90-4e50-a999-a0fc76affc7a","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 5:48:36 AM",NA,NA,121.931268361678,-33.8333127974347,117,"587038c5-3b90-4e50-a999-a0fc76affc7a","Boat",NA,"Trolling","Lure","09:30","12:30",30,0,0,0,NA,"Weather",NA,"4a12dac8-4eb6-4899-8f6c-a86eea18de17",NA,NA,121.902322220468,-33.9185661819637,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,"5f799f40-c5e9-465f-9e21-4b92586cb5f0","587038c5-3b90-4e50-a999-a0fc76affc7a",12,20,"None",NA,1961,6450,"Esperance","Male",NA,1,NA,NA,4,"Wet day",NA
"143",122,"587038c5-3b90-4e50-a999-a0fc76affc7a","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 5:48:36 AM",NA,NA,121.931268361678,-33.8333127974347,118,"587038c5-3b90-4e50-a999-a0fc76affc7a","Boat",NA,"Casting","Bait","11:30","13:30",9,8,4,0,"King George, herring","EndOfDay",NA,"918cbc2c-b627-451b-9558-3c987be938dd",NA,NA,121.930558822859,-33.8524904259922,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,"5f799f40-c5e9-465f-9e21-4b92586cb5f0","587038c5-3b90-4e50-a999-a0fc76affc7a",12,20,"None",NA,1961,6450,"Esperance","Male",NA,1,NA,NA,4,"Wet day",NA
"144",123,"ca992115-75a7-4a71-9f7d-0fe33b578681","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 6:07:02 AM",NA,NA,121.931202597813,-33.8336956977779,119,"ca992115-75a7-4a71-9f7d-0fe33b578681","Boat",NA,"Demersal","Bait","06:00","11:00",45,15,3,0,"Nannagui even, harlequin, queen snapper, swallowtail,","EndOfDay",NA,"f067a340-31a6-42c3-8872-a3eef12940ea",NA,NA,121.776679382899,-34.132818097155,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,"9f0ac1ef-32e2-4013-95ea-56942d681efd","ca992115-75a7-4a71-9f7d-0fe33b578681",5,10,"None",NA,1993,6450,"Esperance","Male",NA,2,NA,NA,5,"44823","Free dive, occasionally"
"145",124,"179f0557-cef4-499a-8141-bef2378755f0","EH","BandyCreekBR","Yes","No","NE","Yes",NA,"Yes",NA,NA,0,"2/22/2022 6:15:01 AM",NA,NA,121.931123571221,-33.8337885523713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",125,"4ebfe7ef-b690-4de7-9e0c-c2bbb1ba1825","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/22/2022 6:21:12 AM",NA,NA,121.931031199257,-33.8339830513684,120,"4ebfe7ef-b690-4de7-9e0c-c2bbb1ba1825","Boat",NA,"Casting","Both","10:30","13:00",30,4,5,0,"Black ass, fox fish,","LowCatch",NA,"ce5cc871-76b6-4510-b1aa-5b9d5060ec06",NA,NA,122.00163457288,-34.0367794180525,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,"76332745-ff6d-4ff8-8d18-7f8caf292c04","4ebfe7ef-b690-4de7-9e0c-c2bbb1ba1825",10,50,"None",NA,1963,6,"Esperance","Male",1,2,NA,NA,6,"Dm476",NA
"147",126,"3c86553b-97c3-4872-9981-c3dd447aa113","EH","BandyCreekBR","Yes","No","Yes","Yes","4","Yes","1","3",1,"2/26/2022 1:07:07 AM",NA,NA,121.93109579621,-33.8334861384439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"551858ae-d250-4fd2-9a9d-3b49491a14bd","3c86553b-97c3-4872-9981-c3dd447aa113","Boat",NA,"Other","06:30",09:00:00,NA,"Weather","Other",2,1,"Coastal viewing, came in due to no fuel",NA,NA,121.986626129272,-33.8394323250977,"NonExtractive",108,"373ef05e-fc69-44e8-9a61-7cfce8291e5b","3c86553b-97c3-4872-9981-c3dd447aa113",3,1,"None",NA,1967,6317,"Esperance","Female",1,1,NA,NA,5,"BU868","Were considering fishing but decided to just chill out"
"148",127,"995ab30b-17bd-4b63-b227-e7aeb2f2b864","EH","BandyCreekBR","No","No","NE","Yes",NA,"Yes",NA,NA,0,"2/26/2022 2:10:38 AM",NA,NA,121.931387156688,-33.8334314349546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",128,"3eecdd3d-d852-403a-9293-74a5f58fd342","EH","BandyCreekBR","Yes","Yes","No","Yes",NA,"Yes",NA,NA,0,"2/26/2022 3:14:56 AM",NA,NA,121.931387156688,-33.8334637205389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",129,"ee39040d-535f-4f9c-98cf-f6e3dfb4da8c","EH","BandyCreekBR","No","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/26/2022 3:39:34 AM",NA,NA,121.931411935817,-33.8336176042692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"76f1805b-fee6-442d-a2c0-4b505b8d4ba0","ee39040d-535f-4f9c-98cf-f6e3dfb4da8c","Boat",NA,"Other","07:30",11:20:00,NA,"Weather","Weather",20,4,NA,NA,NA,122.105899819848,-33.9813153543905,"NonExtractive",109,"731929fd-cf27-4dd9-9fb4-c0867dfe26ed","ee39040d-535f-4f9c-98cf-f6e3dfb4da8c",8,20,"None",NA,1977,6450,"Esperance","Female",NA,1,NA,NA,6,"Gj407","Went out for a cruise"
"151",130,"500d4e4a-ff0b-409f-8611-45cd731b7efe","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/16/2022 2:41:20 AM",NA,NA,121.894706828105,-33.8657026662566,121,"500d4e4a-ff0b-409f-8611-45cd731b7efe","Boat",NA,"Casting","Bait","07:00","10:15",20,24,24,0,"Whiting, squid","ActivityChange",NA,"e7ee4522-1c2b-4d50-91fa-69d9258503b2",NA,NA,121.843616725559,-33.8886674234712,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,"f3553dff-53c4-4b1a-a023-e1fdc7c8c00d","500d4e4a-ff0b-409f-8611-45cd731b7efe",36,40,"OW",50,1971,6450,"Esperance","Male",1,NA,NA,NA,6,"GS134","Believes increase size, decrease bag limit on south coast is necessary- also that you need to travel out further to get the same quality of fish as they used to."
"152",131,"bba4a32c-e66a-4526-aac6-308d754f0fe0","EH","EsperanceBR","Yes","No","Yes","No","5","Yes","2","0",0,"2/16/2022 3:17:04 AM",NA,NA,121.894402027034,-33.8655548292536,122,"bba4a32c-e66a-4526-aac6-308d754f0fe0","Boat",NA,"Casting","Bait","07:30","11:0",3,7,5,0,"Herring","Weather",NA,"85a3fc0c-0ea3-4797-af65-8397faaec0ee",NA,NA,121.923587161433,-33.8486593136376,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,"453e6aa1-aa57-4a8b-ab57-06d9f278f992","bba4a32c-e66a-4526-aac6-308d754f0fe0",12,40,"None",NA,1944,6056,"Esperance","Male",1,1,NA,NA,3,"63031",NA
"153",132,"d560306f-cdd5-4496-b846-ca6c9efd9fad","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"2/16/2022 3:35:10 AM",NA,NA,121.894120546228,-33.8654751492127,123,"d560306f-cdd5-4496-b846-ca6c9efd9fad","Boat","2/16/2022 3:34:27 AM","Casting","Bait","09:00","10:30",8,0,6,0,"Herring","Weather",NA,"ea9af9c4-272a-4154-a0a4-9abdbb0dc51c",NA,NA,121.931845248974,-33.8647860422777,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,"87d290a6-1d6a-4e3e-885f-ba96c5c4868e","d560306f-cdd5-4496-b846-ca6c9efd9fad",52,47,"None",NA,1970,6714,"Esperance","Male",NA,NA,NA,NA,3,NA,"Ginger Scottish guy, black boat Yamaha motor."
