OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_user,created_date,last_edited_user,last_edited_date
61,6fe3f49f-f935-47a8-b428-8cf17d04bf92,f4883840-d4df-48bf-aaf8-af8e99101ac2,40,30,None,,1984,6450,Esperance,Male,,1,,,4,Bt135,,Nicole.Hamre_UWA,4/23/2022 4:03:08 AM,Nicole.Hamre_UWA,4/23/2022 4:14:01 AM
62,3118bb1e-3deb-4fc0-b6e2-f461d2a500c0,6a9677c1-831a-48f8-9ffd-8f1ea1011869,4,60,None,,1953,6450,Esperance,Male,,,,1,5,Df511,,Nicole.Hamre_UWA,4/23/2022 5:34:46 AM,Nicole.Hamre_UWA,4/23/2022 5:36:08 AM
63,f640401e-357d-44d6-a9de-99557ebf3e86,e9b5764b-0150-4106-a54e-1af88e101169,10,20,None,0,1996,6450,Esperance,Male,0,1,0,0,3,GI633,,Nicole.Hamre_UWA,4/24/2022 2:29:10 AM,Nicole.Hamre_UWA,4/24/2022 2:29:10 AM
64,918c953a-3ebd-48d1-bba0-fa82ece23824,1345a27e-274a-4108-a1a1-c044f702c843,3,28,OW,100,1990,6450,Esperance,Male,0,1,0,0,3,GB833,,Nicole.Hamre_UWA,4/24/2022 2:35:06 AM,Nicole.Hamre_UWA,4/24/2022 2:35:06 AM
65,9d2211d8-1a7d-492d-99da-98fe3611fe49,9271e86d-8379-4603-bc80-fec576ca47d6,30,30,None,0,1985,6450,Esperance,Male,1,0,0,1,3,EW129,,Nicole.Hamre_UWA,4/24/2022 2:41:06 AM,Nicole.Hamre_UWA,4/24/2022 2:41:06 AM
66,383e878d-30ed-4ce3-bb74-207e88d07f10,760483b0-4b5c-468c-aa95-0e0054e13304,50,30,None,0,1974,6450,Esperance,Female,0,1,0,0,4,EP923,,Nicole.Hamre_UWA,4/24/2022 2:47:28 AM,Nicole.Hamre_UWA,4/24/2022 2:47:28 AM
67,759f38fa-7802-4e30-b3a5-9962444de832,8e2a6fcc-ea41-4c4c-a8c1-c4a6a441e9f4,10,30,None,0,1971,6450,Esperance,Male,0,1,0,0,5,B0145,,Nicole.Hamre_UWA,4/24/2022 2:51:25 AM,Nicole.Hamre_UWA,4/24/2022 2:51:25 AM
68,f04ea4cf-d080-4834-9575-45c237e14f35,3c5b8fb3-dd96-4185-bfbe-26bf858c8d7e,80,10,None,0,1995,6430,Esperance,Male,0,1,0,0,6,ED013,,Nicole.Hamre_UWA,4/24/2022 3:00:42 AM,Nicole.Hamre_UWA,4/24/2022 3:00:42 AM
69,0bc6f3bf-3c3b-409c-b470-385a44354770,d096f056-14f8-4ff7-9c91-573ab4fec41e,30,40,None,0,1979,6450,Esperance,Male,0,0,0,0,4,GU265,,Nicole.Hamre_UWA,4/24/2022 3:45:28 AM,Nicole.Hamre_UWA,4/24/2022 3:45:28 AM
70,b962c96d-ea6e-4b20-a5e1-f52785059f30,10fd9da0-9bb9-4d72-83de-a8baf86b584a,52,3,None,0,1987,6450,Esperance,Female,0,1,1,1,4,EX236,,Nicole.Hamre_UWA,4/24/2022 3:49:06 AM,Nicole.Hamre_UWA,4/24/2022 3:49:06 AM
71,e73e338c-f023-4bc7-958d-9254bd378810,5e619fef-eede-4068-b654-bf606799c4b9,0,0,I,500,1966,6450,Esperance,Male,1,1,0,0,7,BS249,,Nicole.Hamre_UWA,4/24/2022 5:33:58 AM,Nicole.Hamre_UWA,4/24/2022 5:33:58 AM
72,abd1290c-8792-42ea-82a1-a044364f54c4,c8e4bedc-bbe8-45a9-b6a6-d7d26f561b24,5,12,None,0,1985,6450,Esperance,Female,1,1,2,0,6,GS174,Had stayed two nights at O’Brien’s and went swimming and squidding there too. ,Nicole.Hamre_UWA,4/25/2022 4:44:05 AM,Nicole.Hamre_UWA,4/25/2022 4:50:02 AM
