exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
73f69097-9ede-4ca1-92b9-79470a32c70b,Boat,,Casting,Bait,12:00,12:45,3,0,0,0,,EndOfDay,No,No,,22c491c6-a07a-4cd1-8121-4d86c7024db5,Nicole.Hamre_UWA,4/15/2022 4:55:41 AM,Nicole.Hamre_UWA,4/15/2022 4:55:41 AM,121.9006816,-33.86931982
7c5c128c-b06b-4385-9f1e-d2fe71ed945c,Boat,,Demersal,Bait,8:30,11:45,70,9,1,0,"Nanny, swallowtail, gummy shark",EndOfDay,No,No,,9a112a7b-9f9e-43be-8a42-78213ba74a00,Nicole.Hamre_UWA,4/15/2022 5:02:45 AM,Nicole.Hamre_UWA,4/15/2022 5:02:45 AM,121.8258337,-34.06592499
b41919e2-ae6e-453a-83c9-33b4c12b6503,Boat,,Demersal,Bait,10:00,13:00,8,10,20,0,"6herring, 2 rock cod, 4 leather jacket",Weather,No,No,,2d51efd5-f02f-4b2f-98e6-9ede16a4dc56,Nicole.Hamre_UWA,4/15/2022 5:30:09 AM,Nicole.Hamre_UWA,4/15/2022 5:30:09 AM,121.9022225,-33.8828743
05f2e315-4391-48ab-8db9-4d40ff60db73,Boat,,Demersal,Both,10:30,13:45,30,0,10,0,,Weather,No,No,,a77c2604-d5ce-48b1-afcb-4e4460a3e211,Nicole.Hamre_UWA,4/15/2022 5:49:27 AM,Nicole.Hamre_UWA,4/15/2022 5:49:27 AM,121.9057597,-33.89074415
bdc2ce8d-33f5-4fad-882b-c1f26feab2a2,Boat,,Trolling,Lure,9:00,10:00,0,0,0,0,,ActivityChange,No,No,,7ec44fb2-4daf-4d51-aeab-64a66a3011ca,Nicole.Hamre_UWA,4/15/2022 5:54:21 AM,Nicole.Hamre_UWA,4/15/2022 5:54:21 AM,121.8878792,-33.93688474
bdc2ce8d-33f5-4fad-882b-c1f26feab2a2,Boat,,Casting,Bait,10:00,12:00,10,18,1,0,"12herrung, 6 whiting, 1 squid",EndOfDay,No,No,,7660f56d-a1fa-42fb-aea9-567f9ccd5623,Nicole.Hamre_UWA,4/15/2022 5:55:42 AM,Nicole.Hamre_UWA,4/15/2022 5:55:42 AM,121.8153688,-33.90062185
93ac8506-1f4e-42c0-bb67-e380b930d591,Boat,,Casting,Both,10:00,10:15,20,6,0,0,Herring,LowCatch,No,No,,e4459a55-4cca-452d-a613-b5775e1597c3,Nicole.Hamre_UWA,4/15/2022 6:20:00 AM,Nicole.Hamre_UWA,4/15/2022 6:20:00 AM,121.9116701,-33.88029885
93ac8506-1f4e-42c0-bb67-e380b930d591,Boat,,Casting,Both,10:30,13:00,20,10,6,0,"Herring, sand whiting, flathead",ActivityChange,No,No,,8f8adb0c-1820-4d1d-95ea-7209cfca90ee,Nicole.Hamre_UWA,4/15/2022 6:21:26 AM,Nicole.Hamre_UWA,4/15/2022 6:21:26 AM,121.8645178,-33.8848495
93ac8506-1f4e-42c0-bb67-e380b930d591,Boat,,Casting,Bait,13:45,14:15,4,5,0,0,"King George, herring",EndOfDay,No,No,,9f507710-18f4-47c1-9995-57d675ff7586,Nicole.Hamre_UWA,4/15/2022 6:22:34 AM,Nicole.Hamre_UWA,4/15/2022 6:22:34 AM,121.8961108,-33.86523591
8601227a-74a9-457e-9ea5-0c9fc50db8c6,Boat,,Demersal,Both,7:00,14:15,40,14,3,0,"Break sea [8], 4 quuenines, 1 grouper, 1 yellow tail kingfish",EndOfDay,No,No,,06dd3f89-1c09-433f-8eae-d010a12b9770,Nicole.Hamre_UWA,4/15/2022 6:33:42 AM,Nicole.Hamre_UWA,4/15/2022 8:11:46 AM,121.9005691,-33.92944054
