OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
26,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,1/20/2022 3:19:05 AM,Demersal,Bait,08:15,11:00,20,1,7,0,Herring,Weather,,ad533387-2899-46f5-aab5-f3ae5259f33c,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.987161982424,-33.8535197191145
27,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,Boat,,Demersal,Bait,05:00,10:30,20,24,24,0,School whiting,Weather,,0254bd9d-9346-4203-8b3d-418dadcd12b7,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.088953259219,-33.9736627228781
28,88780bb7-d3cd-474a-8a17-f5540f5eff05,Boat,,Squidding,Lure,10:00,12:00,30,1,0,0,Nannygui - sweet lips emp,Weather,Jigging,254536e0-b1c7-4168-aa01-a1ce39c83286,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.031922989364,-33.9689002083042
29,5598b27d-78b7-4155-8248-6ea143f2d96e,Boat,1/20/2020 5:00:11 AM,Demersal,Both,08:30,12:00,30,6,10,0,"Nannygai (sweet lip emp), harlequin, swallow",Weather,,b08e8275-9ad9-4dd7-a8ee-8e618359c8f5,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.907974846037,-33.9248249246089
30,16a592b9-b766-4033-9b88-4b4d26cc2052,Boat,,Demersal,Bait,05:30,07:00,49,2,1,0,Break sea cod,Explore,,b3cccf23-f2de-49b7-9e86-b108d6640a4c,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.022362846819,-33.8731964570061
31,16a592b9-b766-4033-9b88-4b4d26cc2052,Boat,,Demersal,Bait,07:30,08:30,40,2,2,0,Harelequin,Necessity,,e6b0747d-873a-4fe9-8b1a-32a4d04d7d2b,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.89403980026,-33.9271078788864
32,501e1d61-2b4a-4de3-a678-d2b49f194587,Boat,,Cray,Bait,09:45,11:00,18,0,0,0,,Weather,Cray pot,2cf3e640-1435-43ad-a8af-4f372240ad47,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.986051185032,-33.9235037819705
33,c06c5453-0167-4963-a346-01e85fcc898f,Boat,,Demersal,Bait,06:30,08:00,4,2,1,0,King George whiting,LowCatch,,71143f29-d40a-4676-a2ea-f99b4a14455b,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.905139888764,-33.8643236897818
34,b2f19e9f-6083-46dc-9427-d3481f8723e0,Boat,,Demersal,Bait,06:00,07:30,30,10,7,0,Whiting and herring,Necessity,,e78136fb-1806-41ed-8cb4-d294130a21b5,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.814859195524,-33.8989201336414
35,974d0faf-1d97-467d-8888-96856bc06fa8,Boat,,Trolling,Lure,07:00,08:00,0,0,0,0,,LowCatch,,85104a24-1a43-44fc-bf2c-864e054a890f,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.914067358634,-33.893093472242
36,09aba671-9aaf-4d6d-af23-cfcbc3df4bb7,Boat,,Demersal,Bait,09:00,10:30,24,2,5,0,"Harlequin, sweep",Weather,,682982a1-376d-4ac5-af45-90ada3699609,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.981084345029,-33.9192256913723
37,c3cc11ae-3809-4500-8943-37881670135a,Boat,,Demersal,Bait,09:00,11:40,25,8,20,0,Herring,EndOfDay,,c71aa26f-e22c-47a6-92c5-0bee73c44491,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.902118796971,-33.9157625524484
38,046d21a2-3a21-47ce-851f-31c1f0f59ee4,Boat,,Demersal,Bait,06:00,11:00,40,8,6,0,"Break sea cod, blue grouper",EndOfDay,,875c00c5-6f18-4e5b-a669-e99e26aa60b2,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.981507465901,-34.0230489043508
39,3ab81eec-bdeb-41fe-8372-c88300e0e048,Boat,,Squidding,Lure,07:00,12:30,30,5,0,0,"Squid, snook, yellowtail scad",Weather,,ea0007b0-5b1b-4cfa-9531-62c49a2b7074,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.930048393827,-33.8632540406983
40,d0591308-4e94-42f8-baea-12b0c6402e42,Boat,,Demersal,Bait,11:00,11:30,0,0,1,0,,LowCatch,Don’t know depth,f10b7293-56ef-45e1-92ab-e8fe67df16c0,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.912405140287,-33.8579619724931
41,d0591308-4e94-42f8-baea-12b0c6402e42,Boat,,Demersal,Bait,12:00,12:40,0,0,0,0,,Weather,Don’t know depth,faf35dfd-ce2b-4823-8257-92cb78cfade7,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.902178890671,-33.8693635518305
42,6471ce97-77b6-4b12-8bec-2f677699ce16,Boat,1/23/2022 2:38:10 AM,Squidding,Lure,08:00,08:15,3,0,0,0,,LowCatch,,b1f4b450-85e5-4e7d-97cf-cd552f39bf17,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.227992999606,-33.9920471502405
43,6471ce97-77b6-4b12-8bec-2f677699ce16,Boat,,Demersal,Bait,08:15,10:15,30,1,10,0,Break sea cod,EndOfDay,,18d653c7-3504-4922-96f6-17e21fb02bae,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.224949433762,-34.0001058908703
