GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you done this survey recently? ,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Are you a Traditional Owner of the region?,x,y
F21004A8-9AC1-425C-8308-53EC87C6C32F,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9316983,-33.83327912
5C2E3E5A-7B08-4921-ADE2-26F61CCC51FE,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9309763,-33.83364765
F3880ED3-A4EA-4797-AC02-1F119CE18FAB,NA,EH,BandyCreekBR,Yes,No,Yes,No,2,Yes,1,1,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9313836,-33.83372812
2ED390D3-7607-4408-A22E-6C04C6DDCFA2,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9311204,-33.83399963
92645370-848A-4E6D-A542-2393E7EF0A34,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9308761,-33.83374125
E2E76373-85B8-48E9-A054-04FA6B457658,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.931283,-33.83345482
BE8A3801-D779-4C30-B1DD-24C6590BAB15,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9312214,-33.83350929
3783F8F8-18D2-41A6-A1C1-51B39A4320F8,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9311945,-33.83378006
97586454-4FD6-452B-A16B-87203E01E829,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9311639,-33.83344439
443C5B72-922D-489E-9B6B-323F1CF6B92D,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9312937,-33.83368171
FCEDCDE4-5035-49E4-ABDB-AEE8F3CDF541,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9310696,-33.83367904
3D61651B-35C8-42F5-AE6B-1465E738D0F6,NA,EH,BandyCreekBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9308285,-33.83318001
DA74E667-BB5F-4409-BA2C-9C3F043FA2F8,NA,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9308847,-33.83334491
88AE9399-037E-41E0-A7D7-5970E27D8280,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9313066,-33.83396006
A1E5B056-77DA-48E8-BE2C-6F5762C26E08,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,2,Yes,2,2,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9312589,-33.83251303
7EA34AF3-4664-4006-967E-CD1BDE677861,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9308572,-33.83365917
271B9B6C-327A-4C5C-B585-4F33C4ABFA3F,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9317037,-33.83377255
2C63B783-EFCB-4AA7-AD8D-F9B5486436F0,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9308329,-33.83386071
7AD0B93E-4BA7-486F-B539-40142D477788,NA,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9297193,-33.83442459
C567F82A-55D0-4314-85EE-560D20D3AD5A,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,4,Yes,4,0,2,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9313576,-33.83362109
0A5B8863-8140-4542-91EB-CEEE62F8B002,NA,EH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9311574,-33.83317499
DCF47047-6C74-4E58-9E25-DFBB783E3919,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,19/2/22,Nicole.Hamre_UWA,19/2/22,NA,NA,121.9313113,-33.83325925
76DDCB46-0C4E-4441-BD9E-3D890A74D6E6,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/2/22,Nicole.Hamre_UWA,22/2/22,NA,NA,121.8941883,-33.86513137
15590A95-C762-42B4-8E38-6F479473BD1E,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/2/22,Nicole.Hamre_UWA,22/2/22,NA,NA,121.8939836,-33.86548919
1AD75C2B-5AAF-47DD-A8CC-2C8069B590D2,NA,NSH,EsperanceBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/2/22,Nicole.Hamre_UWA,22/2/22,NA,NA,121.8941902,-33.86467699
282D3F35-D0CD-4678-9CBF-455D021C089F,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/2/22,Nicole.Hamre_UWA,22/2/22,NA,NA,121.8941883,-33.86513137
F961CC07-F0C7-4FBD-A3D2-D9890A9F2F4A,NA,NSH,EsperanceBR,Yes,No,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,26/2/22,Nicole.Hamre_UWA,26/2/22,NA,NA,121.8937522,-33.86377165
175D1C3C-38B0-4AE7-A973-9AF6E2EB2509,NA,NSH,EsperanceBR,Yes,No,Yes,No,2,Yes,1,0,6,Nicole.Hamre_UWA,26/2/22,Nicole.Hamre_UWA,26/2/22,NA,NA,121.894219,-33.86579209
BBA0A9BD-5D4D-4E86-BC35-7AC22F1C0EC8,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9315545,-33.8333602
1ADCB2A0-ECB1-47DF-B8D0-A777E6DE2176,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9316316,-33.83319693
04176D5C-585D-4A82-A942-F3C8DDDF0890,NA,EH,BandyCreekBR,Yes,Yes,Yes,Yes,7,Yes,2,7,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9309049,-33.83329861
E5379B65-1D61-4294-985A-65399A766C26,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9313105,-33.83309291
FA64A3E7-2973-4381-914D-FCDFFE228AB8,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,121.9309718,-33.8335526
