OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
33,974d0faf-1d97-467d-8888-96856bc06fa8,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893974597842,-33.8655253829371
34,e876ee75-bf58-472f-b8df-23ce1b733239,,NSH,EsperanceBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893974597842,-33.8655253829371
35,09aba671-9aaf-4d6d-af23-cfcbc3df4bb7,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89401561402,-33.8638078038182
36,dd9a53f2-5e50-4595-b520-1eee6dbba0e5,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89421383627,-33.8644885784829
37,c3cc11ae-3809-4500-8943-37881670135a,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893927226084,-33.8643385463598
38,046d21a2-3a21-47ce-851f-31c1f0f59ee4,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894146180553,-33.8645346436982
39,42027b7b-d2bb-46ee-ba54-05fb2d203a52,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893983569317,-33.8654891874499
40,3ab81eec-bdeb-41fe-8372-c88300e0e048,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894243516607,-33.8645657210705
41,d0591308-4e94-42f8-baea-12b0c6402e42,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894212358542,-33.8645696916155
42,6471ce97-77b6-4b12-8bec-2f677699ce16,,NSH,LuckyBay,Yes,No,Yes,No,10,Yes,5,10,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.221312721115,-33.992167118428
