OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_date,created_user,last_edited_date,last_edited_user
31,00000000-0000-0000-0000-000000000000,046D21A2-3A21-47CE-851F-31C1F0F59EE4,10,40,None,0,1974,0,Esperance,Male,0,3,0,0,6,BJ468,,22/1/22 4:06,Nicole.Hamre_UWA,22/1/22 4:06,Nicole.Hamre_UWA
32,00000000-0000-0000-0000-000000000000,42027B7B-D2BB-46EE-BA54-05FB2D203A52,1,20,None,0,1994,0,Esperance,Male,1,0,0,0,2,Er673,JetSki,22/1/22 4:24,Nicole.Hamre_UWA,22/1/22 4:24,Nicole.Hamre_UWA
33,00000000-0000-0000-0000-000000000000,3AB81EEC-BDEB-41FE-8372-C88300E0E048,26,40,None,0,1960,0,Esperance,Male,0,0,0,2,4,DP921,,22/1/22 4:48,Nicole.Hamre_UWA,22/1/22 4:48,Nicole.Hamre_UWA
34,00000000-0000-0000-0000-000000000000,D0591308-4E94-42F8-BAEA-12B0C6402E42,10,15,None,0,1991,0,Esperance,Female,0,1,0,0,4,AQ064,,22/1/22 5:11,Nicole.Hamre_UWA,22/1/22 5:14,Nicole.Hamre_UWA
35,00000000-0000-0000-0000-000000000000,6471CE97-77B6-4B12-8BEC-2F677699CE16,20,30,None,0,1979,6230,LuckyBay,Male,0,0,0,1,3,AR059,,23/1/22 2:41,Nicole.Hamre_UWA,23/1/22 2:41,Nicole.Hamre_UWA
36,00000000-0000-0000-0000-000000000000,E18FFBD2-E2D8-43E7-99D0-9F27A0FAFB65,26,3,None,0,1987,0,Esperance,Male,0,3,0,0,7,DZ982,,23/1/22 4:15,Nicole.Hamre_UWA,23/1/22 4:15,Nicole.Hamre_UWA
37,00000000-0000-0000-0000-000000000000,0BF88168-0B51-4C04-A5DF-1DE4806B8999,5,30,None,0,1954,0,Esperance,Female,0,2,0,0,6,Gg053,,23/1/22 4:28,Nicole.Hamre_UWA,23/1/22 4:28,Nicole.Hamre_UWA
38,00000000-0000-0000-0000-000000000000,DB2D8DC4-07FE-4482-BFE9-135B73BAF206,125,20,I,500,1985,0,Esperance,Male,0,0,0,0,7,Dm262,,23/1/22 4:35,Nicole.Hamre_UWA,23/1/22 4:35,Nicole.Hamre_UWA
39,00000000-0000-0000-0000-000000000000,F25D9CF6-3F24-4F14-BBCD-2DBCCE33B748,12,21,None,0,1994,0,Esperance,Male,0,0,0,1,6,E1686,"Concerned about MP, part of fishing club, weather stops us fishing so we can deplete stocks, should manage using bag limits",23/1/22 4:57,Nicole.Hamre_UWA,23/1/22 4:59,Nicole.Hamre_UWA
40,00000000-0000-0000-0000-000000000000,A8FAD5C3-1E10-4509-A0C6-CDFA3CDB488D,6,20,None,,1957,6407,DukeOrleans,Male,,,,,3,EU550,,24/1/22 1:42,Nicole.Hamre_UWA,24/1/22 1:42,Nicole.Hamre_UWA
41,00000000-0000-0000-0000-000000000000,D821EE09-4F80-4AA1-BA33-4EC70B53A8BA,25,40,None,0,1976,0,Esperance,Male,0,0,0,0,6,AK488,,16/2/22 1:45,Nicole.Hamre_UWA,16/2/22 1:45,Nicole.Hamre_UWA
42,00000000-0000-0000-0000-000000000000,2F09F756-A353-4E72-9F94-435E303D7730,35,57,None,0,1962,0,Esperance,Male,0,0,0,0,4,GF954,,16/2/22 2:35,Nicole.Hamre_UWA,16/2/22 2:35,Nicole.Hamre_UWA
43,00000000-0000-0000-0000-000000000000,D3F8D55D-3738-4225-9B21-28E068EFF9F6,24,15,None,0,1990,6164,Castletown,Male,1,0,0,0,3,GQ675,First time on the water in Esperance ,16/2/22 3:50,Nicole.Hamre_UWA,16/2/22 3:54,Nicole.Hamre_UWA
