OBJECTID,Guid,GlobalID,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
223,4cb2733c-8666-405b-8c8d-ac99b7bfc190,8ea05aa1-9387-4052-9e8c-26d26b6f57a5,9/30/2020 7:30:03 AM,9/30/2020 7:30:03 AM,20,,Since born ,,None,Not a scuba diver just a free diver,1995,6018,Lighthouse,,,Female,Talking to one woman,4,C,
224,503fdd59-8234-41e3-88c7-c4bf28f97901,b21b56f5-7412-4fcf-9448-a616384d738f,9/30/2020 8:27:24 AM,9/30/2020 8:27:24 AM,10,,Life I guess,,,,1981,Greenwood,,,,Female,6 adults and 7 kids,6,F,
225,9aef01d1-c558-415c-bc3c-1b0e4cce9e6d,e6535b03-d9d0-49ee-9f81-d6e759384a8b,9/30/2020 8:57:31 AM,9/30/2020 8:57:31 AM,No,,,,None,,1982,6149,NManduCamp,,,Female,7 kids 8 adults,,,
226,3af94773-3417-47fd-91c1-36b4aec9dac8,6e856a8e-af96-4043-973f-4d86a2af78e4,9/30/2020 9:03:16 AM,9/30/2020 9:03:16 AM,Zero,Too often to know,,,None,,1975,Hamilton hill,MesaCamp,,,Male,Family 2 adults 4 kids,,,
227,383ab515-1075-403a-b56b-2e6ffdce35c0,efc5d933-fdb8-4693-a6ed-3db2948fd401,10/01/20 01:16,10/01/20 01:16,18,,30,,None,,1985,6071,YardieHomestead,,,Male,3 mates,5,F,Trophy EJ747
228,9cefb3b3-b024-4e5d-8601-165810bd945e,b36b6cde-cae1-4bef-8629-0f70c05a2fba,10/01/20 01:32,10/01/20 01:32,20,,18,,None,,1996,Didn‰Ûªt want to give,YardieHomestead,,,Male,2 mates,4,C,
229,8b9a1fe9-f6d6-43df-bbbf-954ce639a7c3,e765e726-7048-4bf1-aa01-744876c8d189,10/01/20 01:59,10/01/20 01:59,12,,30,,OW,25,1973,6012,,,,Female,Family 4,7,D,
230,2ab7afc5-908a-4063-b3fc-1f92c7e77bad,d318c54d-1310-4f37-9d73-2ce6c49d4a7a,10/01/20 02:20,10/01/20 02:20,5,80,15,20,AOW,30,1991,6010,YardieHomestead,,,Male,3 mates,4,A,
231,ba5a3e10-e516-476a-aa9b-7eb71c4927c2,8477ee99-326b-434f-83ef-3d94edf5e6fa,10/01/20 04:23,10/01/20 04:23,9,0,Whole life,,None,,1974,Perth,YardieHomestead,,,Male,Few families maybe 10 people,8,D,
232,90f7063d-d51d-4bac-8b56-4603625f3d4f,a0bcc07a-7a04-44f3-a856-6d835dc12602,10/01/20 07:20,10/01/20 07:20,,Two,,,None,,1990,6725,Exmouth,,,Female,Girlfriend boyfriend ,7,,
233,9ed1da6b-1af0-424c-9feb-7639adea2e03,5f6556f9-d1b7-4159-befb-d0f2edf4c50a,10/01/20 07:33,10/01/20 07:33,26,,Life,,None,,1971,Exmouth,,,,Male,4 friends ,,F,
234,29fb5014-e643-4864-98c0-7388f1a3ad50,9cc62f6a-1df7-4d3b-b7fc-fbecb6a81636,10/01/20 07:51,10/01/20 07:51,Opportunistically-friends boats,,,,None,,1970,6714,Lighthouse,,,Male,"5; 2 adults, 3 kids",6,G,
235,d085a489-c158-4389-878b-84571af3b573,76027d95-fd6c-40f0-bb99-1e3ff09b1f3f,10/01/20 08:04,10/01/20 08:04,,,Life,,None,,1980,Rockingham ,Lighthouse,,,Male,2 guys,4,F,
236,74b44706-09c6-4e4f-a2a2-5d2e0c0b236d,c45e1502-5366-4641-8996-027df2a52366,10/01/20 08:10,10/01/20 08:10,Zero,,,,None,,1978,,Exmouth,,,Male,1,,,
237,f0f3b691-4f9f-4340-8d0b-e742fd10eed3,ee73b2b4-20cf-4d08-9787-7714af5c34d9,10/01/20 08:31,10/01/20 08:31,1 a month,,40,,None,,1978,6163,Exmouth,,,Male,4 adults ,7,G,
238,60f423f1-2933-4c7b-810e-c712afe687e9,26ed8224-4347-4684-8b04-c15e5e8b148d,10/01/20 08:45,10/01/20 08:45,12,,Life,,None,,1972,Cockburn,Exmouth,,,Male,5 adults 2 female rest male,6,D,
