OBJECTID,Date,GlobalID,CreationDate,EditDate,Interviewer,Transect,Access, ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x,y,MetaComments,SurveyType,SurveyType_two
57,9/26/2020 9:45:19 AM,899b9c10-6851-4694-8803-4f799874aaa9,9/26/2020 9:46:26 AM,9/26/2020 9:46:26 AM,Nicole,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1382657,-21.95510103,,,
55,9/26/2020 9:30:07 AM,b3202820-e9a7-4711-aab3-b438bf91275c,9/26/2020 9:31:03 AM,9/26/2020 9:31:03 AM,Nicole,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1388754,-21.95528685,,,
51,9/26/2020 8:09:30 AM,f9a9cbb4-66f4-47ff-9066-7eaedd9c8372,9/26/2020 8:09:48 AM,9/26/2020 8:09:48 AM,Nicole,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1392708,-21.95595393,,,
49,9/26/2020 7:32:41 AM,147c243d-e51f-4e1f-a006-40973c628e97,9/26/2020 7:33:13 AM,9/26/2020 7:33:13 AM,Nicole,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1379659,-21.95598731,Language barrier,,
167,10/04/20,4fd3e742-481e-414a-b8f7-d206cc8de65b,10/04/20 06:50,10/04/20 06:51,Gabby,Tantabiddi,LakesideSnorkling,Yes,No,No,,,,,,,,,,113.9140199,-22.03476605,,,
302,10/04/20,542118aa-6d1a-4cef-ae24-1b5a91cbf180,10/04/20 06:50,10/04/20 06:50,Nicole,Tantabiddi,LakesideSnorkling,Yes,No,No,,,,,,,,,,113.9116886,-22.03738026,Language barrier,,
232,10/04/20,732680f7-16f2-4f3d-b038-dbe61cf69fb4,10/04/20 06:16,10/04/20 06:16,Sam,Tantabiddi ,KoriBay,Yes,No,No,,,,,,,,,,113.9179809,-22.02986739,,,
164,10/04/20,1f045bb1-f2ac-437c-9496-968024f37a9c,10/04/20 03:09,10/04/20 03:09,Gabby,Bundegi,Hunters,Yes,Yes,No,,,,,,,,,,114.1083651,-21.80431156,"Family, we have interviewed before. 2 adults 2 kids",,
295,10/04/20,f34716d4-d63f-40e1-8ec0-01e28b366c6e,10/04/20 03:05,10/04/20 03:05,Nicole,Bundegi,Hunters,Yes,No,No,,,,,,,,,,114.1085442,-21.80286136,,,
294,10/04/20,9d619f17-7ff6-4ea4-8c69-8c9ef64ad86c,10/04/20 03:03,10/04/20 03:03,Nicole,Bundegi,Hunters,Yes,No,No,,,,,,,,,,114.1084334,-21.80293566,,,
229,10/04/20,a20d68ef-8d4f-4e57-9f70-b68760580506,10/04/20 02:30,10/04/20 02:30,Sam,Bundegi ,LHeast,Yes,Yes,No,,,,,,,,,,114.1246502,-21.80644468,,,
159,10/03/20,54a32672-1c2e-4bf8-b450-57ff0040c545,10/03/20 08:53,10/03/20 08:56,Sam,Tantabiddi,Turquoise Bay 2,Yes,No,No,,,,,,,,,,113.9203682,-22.02511286,Had dog in national park - told em to leave,,
289,10/03/20,9a26e6ca-ede5-46c7-944a-9d38caeb3f7b,10/03/20 02:17,10/03/20 02:18,Nicole,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1392651,-21.95574379,They didn't think they would be any help,,
221,10/02/20,d0cfde8c-9b9f-4ac2-b40a-87dd37400a7e,10/02/20 09:25,10/02/20 09:25,Gabby,Exmouth,ExBR,Yes,No,No,,,,,,,,,,114.1384883,-21.95476698,,,
280,10/02/20,44a160bb-e78e-49fb-bd26-e383c9877d06,10/02/20 03:05,10/02/20 03:05,Nicole,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9791319,-21.91266969,,,
146,10/01/20,0599c3ce-2178-4784-b409-caa175e98cce,10/01/20 09:12,10/01/20 09:12,Gabby,Bundegi,BunBR,Yes,No,No,,Yes,All,All,,0,0,,No,114.1708313,-21.83596011,Change of mind,,
143,10/01/20,c73eb852-2721-4b9f-872a-1e8c577c5e84,10/01/20 08:18,10/01/20 08:29,Gabby,Bundegi,BunBR,Yes,Yes,No,15,Yes,5,15,,0,0,,No,114.1704731,-21.83651,,,
142,10/01/20,5fc14bfd-8442-4487-85c0-1f4d577addcc,10/01/20 08:15,10/01/20 08:15,Gabby,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1708975,-21.8355016,,,
138,10/01/20,27e5f630-50cf-42b5-b097-93a42cf8ec3f,10/01/20 07:54,10/01/20 07:54,Gabby,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1704376,-21.83612244,,,
136,10/01/20,8646b0f4-469f-431c-98fc-1a688ba3c830,10/01/20 07:37,10/01/20 07:37,Gabby,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1709009,-21.83533594,,,
134,10/01/20,89acb2bb-0a3b-4e6a-9579-1a9b3e367351,10/01/20 07:29,10/01/20 07:29,Gabby,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1710945,-21.83516963,,,
133,10/01/20,4082620c-5b0b-463c-a26b-9a3e64d2f215,10/01/20 07:27,10/01/20 07:27,Gabby,Bundegi,BunBR,Yes,Yes,No,,,,,,,,,,114.1699905,-21.83595092,,,
130,10/01/20,cae857e3-189c-4f17-be2a-467f5eea4fcb,10/01/20 04:24,10/01/20 04:24,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.9785891,-21.91288292,,,
128,10/01/20,b83f074c-f9dc-4dc0-b692-d44171dd79aa,10/01/20 03:30,10/01/20 03:30,Sam,Tantabiddi,TantBR,Yes,No,No,,,,,,,,,,113.978601,-21.91259663,,,
