OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
75,271b9b6c-327a-4c5c-b585-4f33c4abfa3f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:23:56 AM,Nicole.Hamre_UWA,2/19/2022 5:23:56 AM,,,121.931703691553,-33.8337725450758
76,2c63b783-efcb-4aa7-ad8d-f9b5486436f0,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:29:27 AM,Nicole.Hamre_UWA,2/19/2022 5:29:27 AM,,,121.930832903344,-33.8338607135089
77,7ad0b93e-4ba7-486f-b539-40142d477788,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:36:51 AM,Nicole.Hamre_UWA,2/19/2022 5:36:51 AM,,,121.929719281649,-33.8344245929533
78,c567f82a-55d0-4314-85ee-560d20d3ad5a,,EH,BandyCreekBR,Yes,No,Yes,Yes,4,Yes,4,0,2,Nicole.Hamre_UWA,2/19/2022 6:17:18 AM,Nicole.Hamre_UWA,2/19/2022 6:17:18 AM,,,121.931357559894,-33.8336210852582
79,0a5b8863-8140-4542-91eb-ceee62f8b002,,EH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,2/19/2022 6:28:16 AM,Nicole.Hamre_UWA,2/19/2022 6:28:16 AM,,,121.931157424232,-33.8331749869776
80,dcf47047-6c74-4e58-9e25-dfbb783e3919,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 7:02:13 AM,Nicole.Hamre_UWA,2/19/2022 7:02:13 AM,,,121.931311333488,-33.8332592511842
81,76ddcb46-0c4e-4441-bd9e-3d890a74d6e6,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 1:56:47 AM,Nicole.Hamre_UWA,2/22/2022 1:56:47 AM,,,121.894188276505,-33.8651313677191
82,15590a95-c762-42b4-8e38-6f479473bd1e,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 3:43:15 AM,Nicole.Hamre_UWA,2/22/2022 3:43:15 AM,,,121.893983569317,-33.8654891865764
83,1ad75c2b-5aaf-47dd-a8cc-2c8069b590d2,,NSH,EsperanceBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 4:17:09 AM,Nicole.Hamre_UWA,2/22/2022 4:21:14 AM,,,121.894190158476,-33.8646769916126
84,282d3f35-d0cd-4678-9cbf-455d021c089f,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 4:48:36 AM,Nicole.Hamre_UWA,2/22/2022 4:48:36 AM,,,121.894188276505,-33.8651313677191
85,f961cc07-f0c7-4fbd-a3d2-d9890a9f2f4a,,NSH,EsperanceBR,Yes,No,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/26/2022 1:35:50 AM,Nicole.Hamre_UWA,2/26/2022 1:35:50 AM,,,121.89375221091,-33.8637716507393
86,175d1c3c-38b0-4ae7-a973-9af6e2eb2509,,NSH,EsperanceBR,Yes,No,Yes,No,2,Yes,1,0,6,Nicole.Hamre_UWA,2/26/2022 1:54:12 AM,Nicole.Hamre_UWA,2/26/2022 1:54:12 AM,,,121.894219027634,-33.8657920906764
87,bba0a9bd-5d4d-4e86-bc35-7ac22f1c0ec8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/17/2022 2:12:40 AM,Nicole.Hamre_UWA,2/17/2022 2:12:40 AM,,,121.931554546961,-33.8333601957516
88,1adcb2a0-ecb1-47df-b8d0-a777e6de2176,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/17/2022 2:17:04 AM,Nicole.Hamre_UWA,2/17/2022 2:17:04 AM,,,121.931631622413,-33.8331969273926
89,04176d5c-585d-4a82-a942-f3c8dddf0890,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,7,Yes,2,7,0,Nicole.Hamre_UWA,2/17/2022 2:24:13 AM,Nicole.Hamre_UWA,2/17/2022 2:32:39 AM,,,121.930904880856,-33.8332986077823
90,e5379b65-1d61-4294-985a-65399a766c26,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/17/2022 3:44:45 AM,Nicole.Hamre_UWA,2/17/2022 3:44:45 AM,,,121.931310454037,-33.8330929060611
